place_id,lat,lon
BikePoints_795,51.52707,-0.131861
BikePoints_839,51.508034,-0.106823
BikePoints_771,51.509224,-0.216016
BikePoints_64,51.50946,-0.124749
BikePoints_293,51.498158,-0.209494
BikePoints_330,51.51642,-0.179135
BikePoints_140,51.52096,-0.085634
BikePoints_153,51.511932,-0.174411
BikePoints_268,51.493202,-0.144132
BikePoints_510,51.509304,-0.025996
BikePoints_832,51.46402,-0.115781
BikePoints_551,51.50577,-0.01646
BikePoints_831,51.466232,-0.113179
BikePoints_593,51.531067,-0.11934
BikePoints_636,51.467064,-0.193502
BikePoints_449,51.51109,-0.057159
BikePoints_263,51.514225,-0.08066
BikePoints_764,51.46239,-0.168292
BikePoints_279,51.518623,-0.176645
BikePoints_697,51.536392,-0.112721
BikePoints_71,51.51542,-0.09885
BikePoints_217,51.516155,-0.082422
BikePoints_80,51.500694,-0.102091
BikePoints_728,51.461998,-0.20624
BikePoints_103,51.504723,-0.192538
BikePoints_607,51.468815,-0.210279
BikePoints_564,51.50994,-0.117619
BikePoints_668,51.494225,-0.236769
BikePoints_758,51.51787,-0.201005
BikePoints_73,51.52548,-0.089659
BikePoints_177,51.49616,-0.140947
BikePoints_32,51.524696,-0.084439
BikePoints_167,51.49395,-0.147624
BikePoints_428,51.499916,-0.174554
BikePoints_658,51.47729,-0.164786
BikePoints_508,51.519363,-0.074431
BikePoints_456,51.53807,-0.144664
BikePoints_363,51.52912,-0.171185
BikePoints_318,51.510048,-0.138846
BikePoints_748,51.537277,-0.079201
BikePoints_289,51.50923,-0.151289
BikePoints_296,51.49363,-0.190603
BikePoints_178,51.489857,-0.141923
BikePoints_235,51.495716,-0.110889
BikePoints_34,51.534122,-0.129386
BikePoints_491,51.522507,-0.041378
BikePoints_587,51.50964,-0.08497
BikePoints_3,51.521282,-0.084605
BikePoints_705,51.459717,-0.212145
BikePoints_609,51.465122,-0.157788
BikePoints_72,51.52352,-0.10834
BikePoints_171,51.491615,-0.186753
BikePoints_400,51.517704,-0.154106
BikePoints_583,51.49764,-0.125972
BikePoints_157,51.500397,-0.193068
BikePoints_720,51.487244,-0.205279
BikePoints_445,51.52388,-0.065076
BikePoints_288,51.49237,-0.147478
BikePoints_292,51.498882,-0.165471
BikePoints_133,51.501366,-0.191462
BikePoints_207,51.50135,-0.153194
BikePoints_272,51.501446,-0.110699
BikePoints_260,51.513683,-0.13558
BikePoints_642,51.469162,-0.174485
BikePoints_483,51.51328,-0.047784
BikePoints_817,51.481335,-0.138212
BikePoints_389,51.51013,-0.155757
BikePoints_66,51.51795,-0.108657
BikePoints_533,51.52822,-0.069743
BikePoints_365,51.530342,-0.100168
BikePoints_441,51.495655,-0.114605
BikePoints_14,51.529415,-0.123944
BikePoints_741,51.51298,-0.219486
BikePoints_113,51.496464,-0.183289
BikePoints_249,51.498596,-0.096191
BikePoints_154,51.50379,-0.112824
BikePoints_376,51.491882,-0.125674
BikePoints_20,51.527325,-0.136052
BikePoints_194,51.504627,-0.091773
BikePoints_426,51.493073,-0.129925
BikePoints_38,51.497387,-0.197245
BikePoints_327,51.53095,-0.085603
BikePoints_237,51.509785,-0.068161
BikePoints_328,51.53114,-0.086016
BikePoints_358,51.516228,-0.124826
BikePoints_251,51.51891,-0.079249
BikePoints_425,51.53792,-0.130529
BikePoints_144,51.48894,-0.111435
BikePoints_23,51.519436,-0.119123
